strategy,algorithm,query_row_index,query_book_id,query_title,query_course_id,predicted_classes,top_result_row_index,top_result_book_id,top_result_course_id,precision@1,recall@1,f1@1,hit@1,precision@3,recall@3,f1@3,hit@3,precision@5,recall@5,f1@5,hit@5,mrr
cosine_only,ann,733,734,สัญญาณและระบบ,11,,732,733,11,1.0,0.02857142857142857,0.05555555555555556,1.0,0.6666666666666666,0.05714285714285714,0.10526315789473684,1.0,0.8,0.11428571428571428,0.19999999999999998,1.0,1.0
cosine_only,ann,165,166,การทำเหมืองข้อมูล : Data Mining,16,,166,167,16,1.0,0.0625,0.11764705882352941,1.0,1.0,0.1875,0.3157894736842105,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0
cosine_only,ann,496,497,แรกเริ่มเรียนรู้เรื่องการเขียนโปรแกรมด้วย Delphi เรียบเรียงจาก Delphi programming for Dummies,1,,670,671,1,1.0,0.009900990099009901,0.0196078431372549,1.0,0.6666666666666666,0.019801980198019802,0.038461538461538464,1.0,0.4,0.019801980198019802,0.03773584905660377,1.0,1.0
cosine_only,ann,574,575,รวมสุดยอดโปรแกรมเล่นเน็ต,4,,469,470,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.010526315789473684,0.020408163265306124,1.0,0.2,0.010526315789473684,0.019999999999999997,1.0,0.3333333333333333
cosine_only,ann,556,557,กลเม็ดและเทคนิคในภาษา C/C+,1,,549,550,1,1.0,0.009900990099009901,0.0196078431372549,1.0,1.0,0.0297029702970297,0.05769230769230769,1.0,1.0,0.04950495049504951,0.09433962264150944,1.0,1.0
cosine_only,ann,666,667,การเขียนชุดคำสั่งภาษา C,1,,551,552,1,1.0,0.009900990099009901,0.0196078431372549,1.0,1.0,0.0297029702970297,0.05769230769230769,1.0,1.0,0.04950495049504951,0.09433962264150944,1.0,1.0
cosine_only,ann,628,629,DESIGN PATTERNS,7,,517,518,7,1.0,0.01639344262295082,0.03225806451612903,1.0,1.0,0.04918032786885246,0.09375,1.0,1.0,0.08196721311475409,0.1515151515151515,1.0,1.0
cosine_only,ann,380,381,จักรกลเสมือน หมายเลข1....VMware ESXi 4.0,8,,250,251,1,0.0,0.0,0.0,0.0,0.6666666666666666,0.04878048780487805,0.0909090909090909,1.0,0.4,0.04878048780487805,0.08695652173913045,1.0,0.5
cosine_only,ann,134,135,ระบบสารสนเทศเพื่อการจัดการ,13,,132,133,13,1.0,0.1,0.18181818181818182,1.0,1.0,0.3,0.4615384615384615,1.0,1.0,0.5,0.6666666666666666,1.0,1.0
cosine_only,ann,341,342,คู่มือใช้งานAccess2010ฉบับสมบูรณ์,12,,345,346,12,1.0,0.022727272727272728,0.044444444444444446,1.0,1.0,0.06818181818181818,0.1276595744680851,1.0,1.0,0.11363636363636363,0.20408163265306123,1.0,1.0
